code;attributes;period;data
1;номінальна заробітна плата;2015-01;3455
1;номінальна заробітна плата;2015-02;3633
1;номінальна заробітна плата;2015-03;3863
1;номінальна заробітна плата;2015-04;3998
1;номінальна заробітна плата;2015-05;4042
1;номінальна заробітна плата;2015-06;4299
1;номінальна заробітна плата;2015-07;4390
1;номінальна заробітна плата;2015-08;4205
1;номінальна заробітна плата;2015-09;4343
1;номінальна заробітна плата;2015-10;4532
1;номінальна заробітна плата;2015-11;4498
1;номінальна заробітна плата;2015-12;5230
1;номінальна заробітна плата;2016-01;4362
1;номінальна заробітна плата;2016-02;4585
1;номінальна заробітна плата;2016-03;4920
1;номінальна заробітна плата;2016-04;4895
1;номінальна заробітна плата;2016-05;4984
1;номінальна заробітна плата;2016-06;5337
1;номінальна заробітна плата;2016-07;5374
1;номінальна заробітна плата;2016-08;5202
1;номінальна заробітна плата;2016-09;5358
1;номінальна заробітна плата;2016-10;5350
1;номінальна заробітна плата;2016-11;5406
1;номінальна заробітна плата;2016-12;6475
1;номінальна заробітна плата;2017-01;6008
1;номінальна заробітна плата;2017-02;6209
1;номінальна заробітна плата;2017-03;6752
1;номінальна заробітна плата;2017-04;6659
1;номінальна заробітна плата;2017-05;6840
1;номінальна заробітна плата;2017-06;7360
1;номінальна заробітна плата;2017-07;7339
1;номінальна заробітна плата;2017-08;7114
1;номінальна заробітна плата;2017-09;7351
1;номінальна заробітна плата;2017-10;7377
1;номінальна заробітна плата;2017-11;7479
1;номінальна заробітна плата;2017-12;8777
1;номінальна заробітна плата;2018-01;7711
1;номінальна заробітна плата;2018-02;7828
1;номінальна заробітна плата;2018-03;8382
1;номінальна заробітна плата;2018-04;8480
1;номінальна заробітна плата;2018-05;8725
1;номінальна заробітна плата;2018-06;9141
1;номінальна заробітна плата;2018-07;9170
1;номінальна заробітна плата;2018-08;8977
1;номінальна заробітна плата;2018-09;9042
1;номінальна заробітна плата;2018-10;9218
1;номінальна заробітна плата;2018-11;9161
1;номінальна заробітна плата;2018-12;10573
1;номінальна заробітна плата;2019-01;9223
1;номінальна заробітна плата;2019-02;9429
1;номінальна заробітна плата;2019-03;10237
1;номінальна заробітна плата;2019-04;10269
1;номінальна заробітна плата;2019-05;10239
1;номінальна заробітна плата;2019-06;10783
1;номінальна заробітна плата;2019-07;10971
1;номінальна заробітна плата;2019-08;10537
1;номінальна заробітна плата;2019-09;10687
1;номінальна заробітна плата;2019-10;10727
1;номінальна заробітна плата;2019-11;10679
1;номінальна заробітна плата;2019-12;12264
1;номінальна заробітна плата;2020-01;10727
1;номінальна заробітна плата;2020-02;10847
1;номінальна заробітна плата;2020-03;11446
1;номінальна заробітна плата;2020-04;10430
1;номінальна заробітна плата;2020-05;10542
1;номінальна заробітна плата;2020-06;11579
1;номінальна заробітна плата;2020-07;11804
1;номінальна заробітна плата;2020-08;11446
1;номінальна заробітна плата;2020-09;11998
